Fire Number,Incident Name,Fire Start Date,Initial Report Date,Fire Out Date,Region,Zone,County,Municipality,Cause,NFFL Fuel Model,Complex Type,Acreage,Latitude,Longitude,Ownership,State Land Unit Name,Total,Fatalities,Injuries,Homes Lost,Homes Threatened,Other Structures Lost,Other Structures Threatened,Reporting Ranger,Fire Report Method,Railroad Name,Location 1,New York Zip Codes,Counties,NYS Municipal Boundaries
NYS-2018-0130,Floodwood Site # 10 Fire,2018-10-26T00:00:00.000,2018-10-26T00:00:00.000,2018-10-26T00:00:00.000,5,5A,FRANKLIN,SANTA CLARA,Campfire, 7 - Brush - Understory,5,0.1,44.20416,-74.22834,Forest Preserve,Saranac Lake Wild Forest,0,0,0,0,0,0,0,"Evans,Peter H",DEC Dispatch,,"{'latitude': '44.20416', 'longitude': '-74.22834'}",303,621,183
NYS-2018-0129,Whiskey Field Rx,2018-10-25T00:00:00.000,2018-10-25T00:00:00.000,2018-10-25T00:00:00.000,1,1A,SUFFOLK,BROOKHAVEN,Prescribed Fire, 3 - Grass - Heavy,5,9.5,40.90923,-72.9458,State Forest/RF Area,Rocky Point,0,0,0,0,0,0,0,"Carpenter,Timothy J",Ranger Patrol,,"{'latitude': '40.90923', 'longitude': '-72.9458'}",1314,2179,1022
NYS-2018-0128,Iota Rx,2018-10-18T00:00:00.000,2018-10-18T00:00:00.000,2018-10-18T00:00:00.000,4,4A,ALBANY,COLONIE,Prescribed Fire, 2 - Grass - Understory,5,7,42.74409,-73.89731,Other Government,Albany Pine Bush,0,0,0,0,0,0,0,"Seeley,Jason J",Ranger Patrol,,"{'latitude': '42.74409', 'longitude': '-73.89731'}",72,2030,834
NYS-2018-0127,Stillwater 42 Island,2018-09-18T00:00:00.000,2018-09-18T00:00:00.000,2018-10-04T00:00:00.000,6,6B,HERKIMER,WEBB,Campfire, 7 - Brush - Understory,5,0.1,43.86613,-75.00585,Forest Preserve,Independence river wild forest,0,0,0,0,0,0,0,"Savarie,Matthew J",Other,,"{'latitude': '43.86613', 'longitude': '-75.00585'}",571,2088,666
NYS-2018-0126,Woodhull Lake fire,2018-09-15T00:00:00.000,2018-09-15T00:00:00.000,2018-09-16T00:00:00.000,6,6C,HERKIMER,WEBB,Campfire, 7 - Brush - Understory,5,0.1,43.59837,-75.00669,Forest Preserve,Black River Wildforest,0,0,0,0,0,0,0,"Hoag,Gregory W",911 Dispatch,,"{'latitude': '43.59837', 'longitude': '-75.00669'}",1279,2088,666
NYS-2018-0125,Legion Fire,2018-09-13T00:00:00.000,2018-09-13T00:00:00.000,2018-09-15T00:00:00.000,5,5B,CLINTON,SARANAC,Debris Burning, 6 - Brush - Mixed/Regeneration,5,2.3,44.61529,-73.77964,Private Property,,0,0,0,0,0,0,0,"Booth,Jared T",Ranger Patrol,,"{'latitude': '44.61529', 'longitude': '-73.77964'}",302,2038,2
NYS-2018-0124,Polliwog Fire ,2018-09-08T00:00:00.000,2018-09-08T00:00:00.000,2018-09-10T00:00:00.000,5,5A,FRANKLIN,SANTA CLARA,Campfire, 8 - Timber - Light Hardwood Litter,5,0.1,44.33436,-74.35028,Forest Preserve,Saranac Lakes Wild Forest ,0,0,0,0,0,0,0,"Evans,Peter H",Other,,"{'latitude': '44.33436', 'longitude': '-74.35028'}",303,621,179
NYS-2018-0123,Tongue Mountain Fire ,2018-09-08T00:00:00.000,2018-09-08T00:00:00.000,2018-09-11T00:00:00.000,5,5F,WARREN,BOLTON,Campfire, 7 - Brush - Understory,5,0.1,43.59848,-73.61794,Forest Preserve,Lake George Wild Forest ,0,0,0,0,0,0,0,"Bodnar,Michael J",Other,,"{'latitude': '43.59848', 'longitude': '-73.61794'}",,2183,826
NYS-2018-0122,Bear Cub Fire ,2018-09-07T00:00:00.000,2018-09-07T00:00:00.000,2018-09-08T00:00:00.000,5,5C,ESSEX,NORTH ELBA,Lightning, 8 - Timber - Light Hardwood Litter,5,0.1,44.22822,-73.9985,Private Property,,0,0,0,0,0,0,0,"Evans,Peter H",Fire Department,,"{'latitude': '44.22822', 'longitude': '-73.9985'}",275,2084,430
NYS-2018-0121,Outlet 2 Fire,2018-09-04T00:00:00.000,2018-09-04T00:00:00.000,2018-09-07T00:00:00.000,5,5A,HAMILTON,LONG LAKE,Campfire, 7 - Brush - Understory,5,0.1,43.87841,-74.60239,Forest Preserve,Sargent Ponds Wild Forest ,0,0,0,0,0,0,0,"Waters,James ",DEC Dispatch,,"{'latitude': '43.87841', 'longitude': '-74.60239'}",1362,622,870
NYS-2018-0120,Simon Pond Fire,2018-08-31T00:00:00.000,2018-08-31T00:00:00.000,2018-09-01T00:00:00.000,5,5A,FRANKLIN,ALTAMONT,Campfire, 8 - Timber - Light Hardwood Litter,5,0.1,44.19898,-74.45023,Private Property,,0,0,0,0,0,0,0,"Evans,Peter H",Landowner,,"{'latitude': '44.19898', 'longitude': '-74.45023'}",305,621,178
NYS-2018-0119,Moose Island Fire ,2018-08-27T00:00:00.000,2018-08-27T00:00:00.000,2018-08-28T00:00:00.000,5,5C,ESSEX,NORTH ELBA,Campfire, 7 - Brush - Understory,5,0.1,44.33278,-73.95667,Forest Preserve,Saranac Lakes Wild Forest ,0,0,0,0,0,0,0,"Burns,Kevin ",911 Dispatch,,"{'latitude': '44.33278', 'longitude': '-73.95667'}",275,2084,430
NYS-2018-0118,Lost Bay Fire,2018-08-26T00:00:00.000,2018-08-26T00:00:00.000,2018-08-26T00:00:00.000,5,5F,WASHINGTON,FORT ANN,Campfire, 2 - Grass - Understory,5,0.1,43.55555,-73.61203,Forest Preserve,Lake George Wild Forest,0,0,0,0,0,0,0,"Hess,Joseph C",Other,,"{'latitude': '43.55555', 'longitude': '-73.61203'}",,2184,727
NYS-2018-0117,FCP Fire ,2018-08-24T00:00:00.000,2018-08-24T00:00:00.000,2018-08-26T00:00:00.000,5,5A,FRANKLIN,SANTA CLARA,Campfire, 7 - Brush - Understory,5,0.1,44.3356,-74.37198,Forest Preserve,Saranac Lakes Wild Forest ,0,0,0,0,0,0,0,"Sabo,Scott L",DEC Dispatch,,"{'latitude': '44.3356', 'longitude': '-74.37198'}",303,621,179
NYS-2018-0116,UC Fire ,2018-08-23T00:00:00.000,2018-08-23T00:00:00.000,2018-08-24T00:00:00.000,5,5D,HAMILTON,LONG LAKE,Campfire, 7 - Brush - Understory,5,0.1,43.8452,-74.65994,Forest Preserve,Moose River Plains Wild Forest ,0,0,0,0,0,0,0,"Waters,James ",DEC Dispatch,,"{'latitude': '43.8452', 'longitude': '-74.65994'}",1362,622,864
NYS-2018-0115,Outlet Fire ,2018-08-23T00:00:00.000,2018-08-23T00:00:00.000,2018-08-24T00:00:00.000,5,5A,HAMILTON,LONG LAKE,Campfire, 7 - Brush - Understory,5,0.1,43.87841,-74.60239,Forest Preserve,Sargent Ponds Wild Forest ,0,0,0,0,0,0,0,"Waters,James ",DEC Dispatch,,"{'latitude': '43.87841', 'longitude': '-74.60239'}",1362,622,870
NYS-2018-0114,Floodwood Pond Fire ,2018-08-12T00:00:00.000,2018-08-12T00:00:00.000,2018-08-14T00:00:00.000,5,5A,FRANKLIN,SANTA CLARA,Campfire, 7 - Brush - Understory,5,0.1,44.33247,-74.40249,Forest Preserve,Saint Regis Canoe Area ,0,0,0,0,0,0,0,"McCone,Megan E",DEC Dispatch,,"{'latitude': '44.33247', 'longitude': '-74.40249'}",303,621,179
NYS-2018-0113,Bug Lake Fire,2018-08-12T00:00:00.000,2018-08-12T00:00:00.000,2018-08-13T00:00:00.000,5,5D,HAMILTON,INLET,Campfire, 7 - Brush - Understory,5,0.1,43.76991,-74.73232,Forest Preserve,Moose River Plains Wild Forest ,0,0,0,0,0,0,0,"Scott,Jason S",DEC Dispatch,,"{'latitude': '43.76991', 'longitude': '-74.73232'}",565,622,866
NYS-2018-0112,John White WMA Fire,2018-08-11T00:00:00.000,2018-08-12T00:00:00.000,2018-08-13T00:00:00.000,8,8A,GENESEE,ALABAMA,Equipment, 1 - Grass - Light,5,0.1,43.08108,-78.39663,Wildlife Management Area,John White WMA,0,0,0,0,0,0,0,"Kennedy,John S",911 Dispatch,,"{'latitude': '43.08108', 'longitude': '-78.39663'}",488,2086,797
NYS-2018-0111,Raripaco Club Fire,2018-08-10T00:00:00.000,2018-08-10T00:00:00.000,2018-08-12T00:00:00.000,6,6A,ST LAWRENCE,COLTON,Campfire, 2 - Grass - Understory,5,0.5,44.38015,-74.76836,Private Property,,0,0,0,0,0,0,0,"Baldwin,Adam J",Other,,"{'latitude': '44.38015', 'longitude': '-74.76836'}",1616,2140,336
NYS-2018-0110,Lake Colby,2018-08-07T00:00:00.000,2018-08-07T00:00:00.000,2018-08-08T00:00:00.000,5,5A,FRANKLIN,HARRIETSTOWN,Campfire, 8 - Timber - Light Hardwood Litter,5,0.1,44.33546,-74.14954,Other Government,,0,0,0,0,0,0,0,"Balerno,Jeffrey ",Other,,"{'latitude': '44.33546', 'longitude': '-74.14954'}",303,621,183
NYS-2018-0109,Lightning Hill,2018-08-07T00:00:00.000,2018-08-07T00:00:00.000,2018-08-10T00:00:00.000,5,5B,ESSEX,ELIZABETHTOWN,Lightning, 9 - Timber - Medium Hardwood Litter,5,0.1,44.16421,-73.54711,Conservation Easement,,0,0,0,0,0,0,0,"Bode,Sarah ",911 Dispatch,,"{'latitude': '44.16421', 'longitude': '-73.54711'}",223,2084,445
NYS-2018-0108,Long Island Fire ,2018-08-06T00:00:00.000,2018-08-06T00:00:00.000,2018-08-07T00:00:00.000,5,5D,HAMILTON,INDIAN LAKE,Campfire, 7 - Brush - Understory,5,0.1,43.49228,-74.39227,Forest Preserve,Sargent Ponds Wild Forets ,0,0,0,0,0,0,0,"Miller,Gary W",Other,,"{'latitude': '43.49228', 'longitude': '-74.39227'}",1409,622,865
NYS-2018-0107,Weller Pond Fire ,2018-07-31T00:00:00.000,2018-07-31T00:00:00.000,2018-08-02T00:00:00.000,5,5A,FRANKLIN,SANTA CLARA,Campfire, 7 - Brush - Understory,5,0.1,44.2876,-74.28868,Forest Preserve,Saranac Lakes Wild Forest ,0,0,0,0,0,0,0,"Sabo,Scott L",DEC Dispatch,,"{'latitude': '44.2876', 'longitude': '-74.28868'}",303,621,179
NYS-2018-0106,Koeberle Fire,2018-07-20T00:00:00.000,2018-07-20T00:00:00.000,2018-07-22T00:00:00.000,8,8A,ONTARIO,MANCHESTER,Equipment, 1 - Grass - Light,4,23.2,43.23374,-77.07078,Private Property,,0,0,0,0,0,0,0,"Wickens,Ryan A",Landowner,,"{'latitude': '43.23374', 'longitude': '-77.07078'}",408,631,628
NYS-2018-0105,Moose Pond Fire,2018-07-26T00:00:00.000,2018-07-26T00:00:00.000,2018-07-29T00:00:00.000,5,5A,ESSEX,ST ARMAND,Campfire, 7 - Brush - Understory,5,0.1,44.36946,-74.07224,Forest Preserve,Saranac Lakes Wild Forest ,0,0,0,0,0,0,0,"McCone,Megan E.",DEC Dispatch,,"{'latitude': '44.36946', 'longitude': '-74.07224'}",303,2084,428
NYS-2018-0104,Stewart Lake,2018-07-24T00:00:00.000,2018-07-24T00:00:00.000,2018-07-25T00:00:00.000,5,5D,FULTON,CAROGA,Lightning, 9 - Timber - Medium Hardwood Litter,5,0.1,43.18409,-74.47961,Forest Preserve,Shaker Mt WF,0,0,0,0,0,0,0,"Lewis,Andrew S",DEC Dispatch,,"{'latitude': '43.18409', 'longitude': '-74.47961'}",1157,2085,387
NYS-2018-0103,Tooley Pond Road Fire,2018-07-23T00:00:00.000,2018-07-23T00:00:00.000,2018-07-25T00:00:00.000,5,6A,ST LAWRENCE,CLIFTON,Debris Burning, 6 - Brush - Mixed/Regeneration,5,0.3,44.25309,-74.88487,Private Property,,0,0,0,0,0,0,0,"Baldwin,Adam J",911 Dispatch,,"{'latitude': '44.25309', 'longitude': '-74.88487'}",219,2140,337
NYS-2018-0102,Rainbow Lake ,2018-07-22T00:00:00.000,2018-07-22T00:00:00.000,2018-07-27T00:00:00.000,5,5A,FRANKLIN,BRIGHTON,Power line, 7 - Brush - Understory,5,2,44.2922,-74.0872,Other Not Classified,Powerline,0,0,0,0,0,0,0,"Evans,Peter H",911 Dispatch,,"{'latitude': '44.2922', 'longitude': '-74.0872'}",298,2084,430
NYS-2018-0101,Forked Lake 46 Fire,2018-07-22T00:00:00.000,2018-07-22T00:00:00.000,2018-07-22T00:00:00.000,5,5A,HAMILTON,LONG LAKE,Campfire, 8 - Timber - Light Hardwood Litter,5,0.1,43.90773,-74.54275,Forest Preserve,Forked Lake CG,0,0,0,0,0,0,0,"Zurek,Robert ",Supervisor,,"{'latitude': '43.90773', 'longitude': '-74.54275'}",130,622,870
NYS-2018-0100,Stillwater Site 25 Fire,2018-07-21T00:00:00.000,2018-07-21T00:00:00.000,2018-08-01T00:00:00.000,6,6B,HERKIMER,WEBB,Campfire, 7 - Brush - Understory,5,1.1,43.92622,-74.91516,Forest Preserve,Stillwater Reserivoir ,0,0,0,0,0,0,0,"Evans,Luke ",911 Dispatch,,"{'latitude': '43.92622', 'longitude': '-74.91516'}",571,2088,666
NYS-2018-0099,Shanty Fire,2018-07-21T00:00:00.000,2018-07-21T00:00:00.000,2018-07-24T00:00:00.000,5,5F,SARATOGA,CORINTH,Campfire, 8 - Timber - Light Hardwood Litter,5,0.1,43.24222,-73.8925,Conservation Easement,Mulleyville Trails,0,0,0,0,0,0,0,"Goetke,Anthony G",DEC Dispatch,,"{'latitude': '43.24222', 'longitude': '-73.8925'}",807,2141,1008
NYS-2018-0098,Indian Head Fire,2018-07-21T00:00:00.000,2018-07-21T00:00:00.000,2018-07-21T00:00:00.000,5,5C,ESSEX,KEENE,Campfire, 4 - Brush - Heavy/Volatile,5,0.1,44.11312,-73.82095,Conservation Easement,AMR Property,0,0,0,0,0,0,0,"VanLaer,Scott L",Sheriff,,"{'latitude': '44.11312', 'longitude': '-73.82095'}",272,2084,442
NYS-2018-0097,Tioga Point Fire,2018-07-21T00:00:00.000,2018-07-21T00:00:00.000,2018-07-23T00:00:00.000,5,5D,HAMILTON,LONG LAKE,Campfire, 9 - Timber - Medium Hardwood Litter,5,0.1,43.50296,-74.37477,Forest Preserve,Sargants Pond Wild Forest,0,0,0,0,0,0,0,"Miller,Gary W",Other,,"{'latitude': '43.50296', 'longitude': '-74.37477'}",1409,622,865
NYS-2018-0096,Old Dock Fire,2018-07-21T00:00:00.000,2018-07-21T00:00:00.000,2018-07-23T00:00:00.000,5,5A,FRANKLIN,HARRIETSTOWN,Campfire, 7 - Brush - Understory,5,0.1,44.24107,-74.31509,Forest Preserve,Saranac Lake Wild Forest,0,0,0,0,0,0,0,"Burns,Kevin ",Fire Department,,"{'latitude': '44.24107', 'longitude': '-74.31509'}",305,621,183
NYS-2018-0095,Rogers Rock ,2018-07-20T00:00:00.000,2018-07-20T00:00:00.000,2018-07-20T00:00:00.000,5,5E,WARREN,HAGUE,Campfire, 8 - Timber - Light Hardwood Litter,5,0.3,43.78438,-73.48542,Forest Preserve,,0,0,0,0,0,0,0,"Perryman,Arthur C",911 Dispatch,,"{'latitude': '43.78438', 'longitude': '-73.48542'}",,2183,823
NYS-2018-0094,North Bush Cemetery Fire,2018-07-20T00:00:00.000,2018-07-20T00:00:00.000,2018-07-20T00:00:00.000,5,5D,FULTON,CAROGA,Equipment, 1 - Grass - Light,5,0.3,43.08296,-74.48133,Other Government,,0,0,0,0,0,0,0,"Lewis,Andrew S",911 Dispatch,,"{'latitude': '43.08296', 'longitude': '-74.48133'}",1238,2085,387
NYS-2018-0093,Dromedary RX,2018-07-20T00:00:00.000,2018-07-20T00:00:00.000,2018-07-22T00:00:00.000,4,4A,ALBANY,GUILDERLAND,Prescribed Fire, 5 - Brush - Continuous but Light,5,33.6,42.71605,-73.88396,Unique Area,Albany Pine Bush,0,0,0,0,0,0,0,"DiCintio,Chris A",Ranger Patrol,,"{'latitude': '42.71605', 'longitude': '-73.88396'}",40,2030,814
NYS-2018-0092,Long Lake Island,2018-07-18T00:00:00.000,2018-07-18T00:00:00.000,2018-07-20T00:00:00.000,5,5A,HAMILTON,LONG LAKE,Campfire, 7 - Brush - Understory,5,0.1,44.00148,-74.391,Forest Preserve,Sargeant Ponds WF,0,0,0,0,0,0,0,"Zurek,Robert ",DEC Dispatch,,"{'latitude': '44.00148', 'longitude': '-74.391'}",130,622,864
NYS-2018-0091,Sucker Brook Bay Fire,2018-07-18T00:00:00.000,2018-07-18T00:00:00.000,2018-07-18T00:00:00.000,5,5D,HAMILTON,LONG LAKE,Campfire, 9 - Timber - Medium Hardwood Litter,5,0.1,43.85119,-74.67268,Private Property,,0,0,0,0,0,0,0,"Miller,Gary W",911 Dispatch,,"{'latitude': '43.85119', 'longitude': '-74.67268'}",130,622,864
NYS-2018-0090,Cedar River Fire,2018-07-16T00:00:00.000,2018-07-16T00:00:00.000,2018-07-17T00:00:00.000,5,5D,HAMILTON,LAKE PLEASANT,Campfire, 9 - Timber - Medium Hardwood Litter,5,0.1,43.70851,-74.47188,Forest Preserve,West Canada Lakes,0,0,0,0,0,0,0,"Miller,Gary W",Other,,"{'latitude': '43.70851', 'longitude': '-74.47188'}",1287,622,865
NYS-2018-0089,Old Barto Fire,2018-07-14T00:00:00.000,2018-07-16T00:00:00.000,2018-07-17T00:00:00.000,1,1A,SUFFOLK,BROOKHAVEN,Incendiary, 8 - Timber - Light Hardwood Litter,5,2.5,40.78878,-72.9047,Federal Lands,US Fish & Wildlife Wertheim National ,0,0,0,0,0,0,0,"Pries,Joseph M",Other,,"{'latitude': '40.78878', 'longitude': '-72.9047'}",1076,2179,1022
NYS-2018-0088,Brandy Lake Fire,2018-07-14T00:00:00.000,2018-07-14T00:00:00.000,2018-07-14T00:00:00.000,6,6C,ONEIDA,FORESTPORT,Campfire, 7 - Brush - Understory,5,0.1,43.34024,-75.09174,Forest Preserve,Black River Wild Forest,0,0,0,0,0,0,0,"Coscomb,Robert ",DEC Dispatch,,"{'latitude': '43.34024', 'longitude': '-75.09174'}",1364,625,990
NYS-2018-0087,Johnnycake hill,2018-07-13T00:00:00.000,2018-07-13T00:00:00.000,2018-07-20T00:00:00.000,7,7A,MADISON,MADISON,Debris Burning,13 - Slash Heavy,4,9.7,42.858,-75.5415,Private Property,,0,0,0,0,0,0,0,"Virkler,Alexander R",911 Dispatch,,"{'latitude': '42.858', 'longitude': '-75.5415'}",557,2092,134
NYS-2018-0086,Intern East/West Rx,2018-07-12T00:00:00.000,2018-07-12T00:00:00.000,2018-07-12T00:00:00.000,4,4A,ALBANY,COLONIE,Prescribed Fire, 1 - Grass - Light,5,1.4,42.73964,-73.89046,Other Government,Albany Pine Bush,0,0,0,0,0,0,0,"Nally,David X",Ranger Patrol,,"{'latitude': '42.73964', 'longitude': '-73.89046'}",72,2030,834
NYS-2018-0085,Woodhull Lake Fire,2018-07-11T00:00:00.000,2018-07-11T00:00:00.000,2018-07-12T00:00:00.000,6,6C,HERKIMER,WEBB,Campfire, 7 - Brush - Understory,5,0.1,43.35878,-75.01117,Forest Preserve,Black River Wildforest,0,0,0,0,0,0,0,"Coscomb,Robert ",Landowner,,"{'latitude': '43.35878', 'longitude': '-75.01117'}",538,2088,672
NYS-2018-0084,Flat Rock Fire,2018-07-12T00:00:00.000,2018-07-12T00:00:00.000,2018-08-09T00:00:00.000,5,5B,CLINTON,ALTONA,Campfire, 6 - Brush - Mixed/Regeneration,3,547,44.87449,-73.6375,Forest Preserve,Flat Rock State Forest,410150,0,0,0,3,0,0,"Booth,Jared T",911 Dispatch,,"{'latitude': '44.87449', 'longitude': '-73.6375'}",204,2038,15
NYS-2018-0083,McKeever Bridge Fire,2018-07-12T00:00:00.000,2018-07-12T00:00:00.000,2018-07-12T00:00:00.000,6,6C,HERKIMER,WEBB,Power line, 6 - Brush - Mixed/Regeneration,5,0.2,43.36982,-75.0602,Forest Preserve,Black River Wild Forest,0,0,0,0,0,0,0,"Coscomb,Robert ",911 Dispatch,,"{'latitude': '43.36982', 'longitude': '-75.0602'}",1364,2088,671
NYS-2018-0082,Lyonsdale,2018-07-11T00:00:00.000,2018-07-11T00:00:00.000,2018-07-12T00:00:00.000,6,6B,LEWIS,LYONSDALE,Campfire,10 - Timber  - Heavy Litter/Downed Fuels,5,0.1,43.6183,-75.30015,Other Not Classified,,0,0,0,0,0,0,0,"Candee,Martin ",911 Dispatch,,"{'latitude': '43.6183', 'longitude': '-75.30015'}",572,623,618
NYS-2018-0081,Gordon Beach Fire,2018-07-11T00:00:00.000,2018-07-11T00:00:00.000,2018-07-14T00:00:00.000,8,8A,ONTARIO,SOUTH BRISTOL,Debris Burning, 8 - Timber - Light Hardwood Litter,5,0.5,42.68988,-77.3652,Private Property,,0,0,0,0,0,0,0,"Dormer,Patrick G",Ranger Patrol,,"{'latitude': '42.68988', 'longitude': '-77.3652'}",,2133,800
NYS-2018-0080,Cellar Mountain ,2018-07-10T00:00:00.000,2018-07-10T00:00:00.000,2018-07-11T00:00:00.000,5,5D,HAMILTON,LAKE PLEASANT,Lightning, 8 - Timber - Light Hardwood Litter,5,0.1,43.63222,-74.41882,Forest Preserve,West Canada Lake Wilderness,0,0,0,0,0,0,0,"Kallen,David A",911 Dispatch,,"{'latitude': '43.63222', 'longitude': '-74.41882'}",1287,622,865
NYS-2018-0079,West Parishville,2018-07-09T00:00:00.000,2018-07-09T00:00:00.000,2018-07-13T00:00:00.000,6,6A,ST LAWRENCE,PARISHVILLE,Campfire, 7 - Brush - Understory,5,2.3,44.60998,-74.89493,State Forest/RF Area,West Parishville State Forest,0,0,0,0,0,0,0,"Hogan,Joshua T",911 Dispatch,,"{'latitude': '44.60998', 'longitude': '-74.89493'}",1597,2140,316
NYS-2018-0078,Albert Island,2018-07-08T00:00:00.000,2018-07-08T00:00:00.000,2018-07-10T00:00:00.000,6,6A,ST LAWRENCE,CLIFTON,Campfire, 8 - Timber - Light Hardwood Litter,5,0.2,44.1494,-74.80953,Private Property,,0,0,0,0,0,0,0,"Benzel,William ",911 Dispatch,,"{'latitude': '44.1494', 'longitude': '-74.80953'}",219,2140,337
NYS-2018-0077,Village Fire,2018-07-08T00:00:00.000,2018-07-08T00:00:00.000,2018-07-11T00:00:00.000,5,5F,SARATOGA,CORINTH,Campfire,10 - Timber  - Heavy Litter/Downed Fuels,5,0.8,43.24471,-73.87928,Other Government,,0,0,0,0,0,0,0,"Hess,Joseph C",911 Dispatch,,"{'latitude': '43.24471', 'longitude': '-73.87928'}",807,2141,1008
NYS-2018-0076,Friendly Rx,2018-06-26T00:00:00.000,2018-06-26T00:00:00.000,2018-06-26T00:00:00.000,4,4A,ALBANY,ALBANY,Prescribed Fire, 6 - Brush - Mixed/Regeneration,5,0.6,42.71478,-73.86732,Other Government,Albany Pine Bush,0,0,0,0,0,0,0,"Breigle,Jeffrey ",Ranger Patrol,,"{'latitude': '42.71478', 'longitude': '-73.86732'}",42,2030,814
NYS-2018-0075,Rt 49,2018-06-26T00:00:00.000,2018-06-26T00:00:00.000,2018-06-29T00:00:00.000,5,5F,WASHINGTON,GREENWICH,Miscellaneous,12 - Slash - Medium,5,1,43.17769,-73.4287,Private Property,,0,0,0,0,0,0,0,"Laczko,Jaime ",911 Dispatch,,"{'latitude': '43.17769', 'longitude': '-73.4287'}",808,2184,724
NYS-2018-0074,BNL East Unit B RX,2018-06-26T00:00:00.000,2018-06-26T00:00:00.000,2018-06-29T00:00:00.000,1,1A,SUFFOLK,BROOKHAVEN,Prescribed Fire, 4 - Brush - Heavy/Volatile,4,8.5,40.88729,-72.85012,Other Government,,0,0,0,0,0,0,0,"Gallagher,Bryan ",Ranger Patrol,,"{'latitude': '40.88729', 'longitude': '-72.85012'}",1607,2179,1022
NYS-2018-0073,Forked lake Fire,2018-06-22T00:00:00.000,2018-06-22T00:00:00.000,2018-06-25T00:00:00.000,5,5A,HAMILTON,ARIETTA,Campfire, 3 - Grass - Heavy,5,0.1,43.90587,-74.54506,Forest Preserve,Sagant Ponds Wilderness,0,0,0,0,0,0,0,"Waters,James ",Ranger Patrol,,"{'latitude': '43.90587', 'longitude': '-74.54506'}",130,622,870
NYS-2018-0072,Francis Lake Fire,2018-06-22T00:00:00.000,2018-06-22T00:00:00.000,2018-06-23T00:00:00.000,6,6B,LEWIS,WATSON,Campfire, 7 - Brush - Understory,5,0.1,43.85778,-75.18049,Forest Preserve,Independance River WF,0,0,0,0,0,0,0,"Evans,Luke ",Ranger Patrol,,"{'latitude': '43.85778', 'longitude': '-75.18049'}",571,623,611
NYS-2018-0071,Hasto Rd Fire,2018-06-13T00:00:00.000,2018-06-21T00:00:00.000,2018-06-25T00:00:00.000,7,7A,OSWEGO,ALBION,Equipment, 9 - Timber - Medium Hardwood Litter,5,1.1,43.5211,-76.05532,Private Property,,0,0,0,0,0,0,0,"Jackson,Scott ",911 Dispatch,,"{'latitude': '43.5211', 'longitude': '-76.05532'}",683,2135,252
NYS-2018-0070,Thompson Bros,2018-06-19T00:00:00.000,2018-06-19T00:00:00.000,2018-07-01T00:00:00.000,5,5E,ESSEX,CROWN POINT,Lightning, 9 - Timber - Medium Hardwood Litter,5,3.5,43.92667,-73.467,Private Property,,0,0,0,0,0,0,0,"Quinn,Logan T",911 Dispatch,,"{'latitude': '43.92667', 'longitude': '-73.467'}",220,2084,453
NYS-2018-0069,Fido Rx,2018-06-12T00:00:00.000,2018-06-12T00:00:00.000,2018-06-13T00:00:00.000,4,4A,ALBANY,ALBANY,Prescribed Fire, 6 - Brush - Mixed/Regeneration,5,8,42.71944,-73.86242,Other Government,Albany Pine Bush,0,0,0,0,0,0,0,"Nally,David X",Ranger Patrol,,"{'latitude': '42.71944', 'longitude': '-73.86242'}",42,2030,832
NYS-2018-0068,Little Long Pond ,2018-06-02T00:00:00.000,2018-06-02T00:00:00.000,2018-06-06T00:00:00.000,5,5A,FRANKLIN,HARRIETSTOWN,Campfire, 7 - Brush - Understory,5,1,44.39054,-74.38096,Forest Preserve,St. Regis Canoe Area ,0,0,0,0,0,0,0,"McCone,Megan E.",DEC Dispatch,,"{'latitude': '44.39054', 'longitude': '-74.38096'}",303,621,179
NYS-2018-0067,Ned's Point Fire,2018-05-31T00:00:00.000,2018-05-31T00:00:00.000,2018-06-01T00:00:00.000,5,5A,FRANKLIN,DUANE,Campfire, 1 - Grass - Light,5,0.1,44.58566,-74.28727,Forest Preserve,Debar Mountain Wild Forest,0,0,0,0,0,0,0,"Sabo,Scott L",911 Dispatch,,"{'latitude': '44.58566', 'longitude': '-74.28727'}",278,621,186
NYS-2018-0066,Andromeda RX,2018-05-30T00:00:00.000,2018-05-30T00:00:00.000,2018-05-31T00:00:00.000,4,4A,ALBANY,GUILDERLAND,Prescribed Fire, 2 - Grass - Understory,5,29.6,42.72554,-73.87471,Other Government,Albany Pine Bush,0,0,0,0,0,0,0,"Nally,David X",DEC Dispatch,,"{'latitude': '42.72554', 'longitude': '-73.87471'}",72,2030,832
NYS-2018-0065,Burnt Metal,2018-05-27T00:00:00.000,2018-05-27T00:00:00.000,2018-05-27T00:00:00.000,5,5E,WARREN,BOLTON,Equipment, 8 - Timber - Light Hardwood Litter,5,0.1,43.65264,-73.65811,Private Property,,0,0,0,0,0,0,0,"Donegan,Evan F",911 Dispatch,,"{'latitude': '43.65264', 'longitude': '-73.65811'}",801,2183,826
NYS-2018-0064,Buck Pond Fire,2018-05-24T00:00:00.000,2018-05-24T00:00:00.000,2018-05-24T00:00:00.000,5,5A,FRANKLIN,FRANKLIN,Campfire, 8 - Timber - Light Hardwood Litter,5,0.5,44.50367,-74.11474,Forest Preserve,Buck Pond Campground ,0,0,0,0,0,0,0,"Sabo,Scott L",Ranger Patrol,,"{'latitude': '44.50367', 'longitude': '-74.11474'}",307,621,184
