Fire Number,Incident Name,Fire Start Date,Initial Report Date,Fire Out Date,Region,Zone,County,Municipality,Cause,NFFL Fuel Model,Complex Type,Acreage,Latitude,Longitude,Ownership,State Land Unit Name,Total,Fatalities,Injuries,Homes Lost,Homes Threatened,Other Structures Lost,Other Structures Threatened,Reporting Ranger,Fire Report Method,Railroad Name,Location 1,New York Zip Codes,Counties,NYS Municipal Boundaries
NYS-2016-0089,Blind Buck Road,2016-05-12T00:00:00.000,2016-05-12T00:00:00.000,2016-05-12T00:00:00.000,5,5F,WASHINGTON,SALEM,Debris Burning, 8 - Timber - Light Hardwood Litter,5,6.0,43.18891,-73.26884,Private Property,,0.00,0,0,0,0,0,0,"Kerr,Ian M",911 Dispatch,,"{'latitude': '43.18891', 'longitude': '-73.26884'}",146,2184,717
NYS-2016-0088,Arrowhead Lane ,2016-05-12T00:00:00.000,2016-05-12T00:00:00.000,2016-05-19T00:00:00.000,5,5E,WARREN,HORICON,Campfire, 8 - Timber - Light Hardwood Litter,5,5.0,43.74338,-73.77494,Private Property,,0.00,0,0,0,0,0,0,"Donegan,Evan F",911 Dispatch,,"{'latitude': '43.74338', 'longitude': '-73.77494'}",786,2183,822
NYS-2016-0087,Rollies Road,2016-05-12T00:00:00.000,2016-05-12T00:00:00.000,2016-05-14T00:00:00.000,5,5E,WARREN,WARRENSBURG,Incendiary, 8 - Timber - Light Hardwood Litter,5,0.5,43.52729,-73.79681,Private Property,,0.00,0,0,0,0,0,0,"Kabrehl,Charles J",911 Dispatch,,"{'latitude': '43.52729', 'longitude': '-73.79681'}",156,2183,815
NYS-2016-0086,Hackensack Mountain #1,2016-05-12T00:00:00.000,2016-05-12T00:00:00.000,2016-05-14T00:00:00.000,5,5E,WARREN,WARRENSBURG,Incendiary, 8 - Timber - Light Hardwood Litter,5,1.0,43.49827,-73.76816,Other Government,,0.00,0,0,0,0,0,0,"Donegan,Evan F",Other,,"{'latitude': '43.49827', 'longitude': '-73.76816'}",156,2183,815
NYS-2016-0085,Split Rock,2016-05-11T00:00:00.000,2016-05-11T00:00:00.000,2016-05-12T00:00:00.000,3,3B,SULLIVAN,HIGHLAND,Incendiary,10 - Timber  - Heavy Litter/Downed Fuels,5,3.0,41.48706,-74.89068,Private Property,,0.00,0,0,0,0,0,0,"Sabo,Scott L",911 Dispatch,,"{'latitude': '41.48706', 'longitude': '-74.89068'}",1025,2180,656
NYS-2016-0084,Ulster Heights ,2016-05-11T00:00:00.000,2016-05-11T00:00:00.000,2016-05-12T00:00:00.000,3,3A,ULSTER,WAWARSING,Debris Burning, 8 - Timber - Light Hardwood Litter,5,4.0,41.77304,-74.50371,Private Property,,0.00,0,0,0,0,0,0,"Stratton,Robert  E",911 Dispatch,,"{'latitude': '41.77304', 'longitude': '-74.50371'}",122,2182,407
NYS-2016-0083,Gordon FIre,2016-05-11T00:00:00.000,2016-05-11T00:00:00.000,2016-05-12T00:00:00.000,3,3B,PUTNAM,KENT,Incendiary, 8 - Timber - Light Hardwood Litter,5,1.0,41.43719,-73.78198,Private Property,,0.00,0,0,0,0,0,0,"Davey,Nancy H",911 Dispatch,n/a,"{'latitude': '41.43719', 'longitude': '-73.78198'}",1201,627,102
NYS-2016-0082,E. Schroon River Road #5,2016-04-30T00:00:00.000,2016-04-30T00:00:00.000,2016-04-30T00:00:00.000,5,5E,WARREN,HORICON,Debris Burning, 6 - Brush - Mixed/Regeneration,5,1.0,43.50802,-73.74597,Private Property,,0.00,0,0,0,0,0,0,"Kabrehl,Charles J",911 Dispatch,,"{'latitude': '43.50802', 'longitude': '-73.74597'}",90,2183,820
NYS-2016-0081,Chimney Mountain Fire,2016-04-30T00:00:00.000,2016-04-30T00:00:00.000,2016-05-05T00:00:00.000,5,5D,HAMILTON,INDIAN LAKE,Children, 8 - Timber - Light Hardwood Litter,5,21.6,43.41313,-74.13161,Forest Preserve,Siamese Pond Wilderness,0.00,0,0,0,0,0,0,"Temple,Jenifer L",Ranger Patrol,,"{'latitude': '43.41313', 'longitude': '-74.13161'}",153,2183,817
NYS-2016-0080,Rector Road Fire,2016-04-28T00:00:00.000,2016-04-28T00:00:00.000,2016-05-01T00:00:00.000,6,6B,LEWIS,MONTAGUE,Incendiary, 3 - Grass - Heavy,5,3.1,43.75710,-75.65270,State Forest/RF Area,Grant Powell,0.00,0,0,0,0,0,0,"Candee,Martin ",911 Dispatch,,"{'latitude': '43.7571', 'longitude': '-75.6527'}",571,623,616
